Date,Risk Free Rf
10/3/2016,0.00001
10/4/2016,0.00001
10/5/2016,0.00001
10/6/2016,0.00001
10/7/2016,0.00001
10/10/2016,0.00001
10/11/2016,0.00001
10/12/2016,0.00001
10/13/2016,0.00001
10/14/2016,0.00001
10/17/2016,0.00001
10/18/2016,0.00001
10/19/2016,0.00001
10/20/2016,0.00001
10/21/2016,0.00001
10/24/2016,0.00001
10/25/2016,0.00001
10/26/2016,0.00001
10/27/2016,0.00001
10/28/2016,0.00001
10/31/2016,0.00001
11/1/2016,0.00001
11/2/2016,0.00001
11/3/2016,0.00001
11/4/2016,0.00001
11/7/2016,0.00001
11/8/2016,0.00001
11/9/2016,0.00001
11/10/2016,0.00001
11/11/2016,0.00001
11/14/2016,0.00001
11/15/2016,0.00001
11/16/2016,0.00001
11/17/2016,0.00001
11/18/2016,0.00001
11/21/2016,0.00001
11/22/2016,0.00001
11/23/2016,0.00001
11/25/2016,0.00001
11/28/2016,0.00001
11/29/2016,0.00001
11/30/2016,0.00001
12/1/2016,0.00001
12/2/2016,0.00001
12/5/2016,0.00001
12/6/2016,0.00001
12/7/2016,0.00001
12/8/2016,0.00001
12/9/2016,0.00001
12/12/2016,0.00001
12/13/2016,0.00001
12/14/2016,0.00001
12/15/2016,0.00001
12/16/2016,0.00001
12/19/2016,0.00001
12/20/2016,0.00001
12/21/2016,0.00001
12/22/2016,0.00001
12/23/2016,0.00001
12/27/2016,0.00001
12/28/2016,0.00001
12/29/2016,0.00001
12/30/2016,0.00001
1/3/2017,0.00002
1/4/2017,0.00002
1/5/2017,0.00002
1/6/2017,0.00002
1/9/2017,0.00002
1/10/2017,0.00002
1/11/2017,0.00002
1/12/2017,0.00002
1/13/2017,0.00002
1/17/2017,0.00002
1/18/2017,0.00002
1/19/2017,0.00002
1/20/2017,0.00002
1/23/2017,0.00002
1/24/2017,0.00002
1/25/2017,0.00002
1/26/2017,0.00002
1/27/2017,0.00002
1/30/2017,0.00002
1/31/2017,0.00002
2/1/2017,0.00002
2/2/2017,0.00002
2/3/2017,0.00002
2/6/2017,0.00002
2/7/2017,0.00002
2/8/2017,0.00002
2/9/2017,0.00002
2/10/2017,0.00002
2/13/2017,0.00002
2/14/2017,0.00002
2/15/2017,0.00002
2/16/2017,0.00002
2/17/2017,0.00002
2/21/2017,0.00002
2/22/2017,0.00002
2/23/2017,0.00002
2/24/2017,0.00002
2/27/2017,0.00002
2/28/2017,0.00002
3/1/2017,0.00001
3/2/2017,0.00001
3/3/2017,0.00001
3/6/2017,0.00001
3/7/2017,0.00001
3/8/2017,0.00001
3/9/2017,0.00001
3/10/2017,0.00001
3/13/2017,0.00001
3/14/2017,0.00001
3/15/2017,0.00001
3/16/2017,0.00001
3/17/2017,0.00001
3/20/2017,0.00001
3/21/2017,0.00001
3/22/2017,0.00001
3/23/2017,0.00001
3/24/2017,0.00001
3/27/2017,0.00001
3/28/2017,0.00001
3/29/2017,0.00001
3/30/2017,0.00001
3/31/2017,0.00001
4/3/2017,0.00003
4/4/2017,0.00003
4/5/2017,0.00003
4/6/2017,0.00003
4/7/2017,0.00003
4/10/2017,0.00003
4/11/2017,0.00003
4/12/2017,0.00003
4/13/2017,0.00003
4/17/2017,0.00003
4/18/2017,0.00003
4/19/2017,0.00003
4/20/2017,0.00003
4/21/2017,0.00003
4/24/2017,0.00003
4/25/2017,0.00003
4/26/2017,0.00003
4/27/2017,0.00003
4/28/2017,0.00003
5/1/2017,0.00003
5/2/2017,0.00003
5/3/2017,0.00003
5/4/2017,0.00003
5/5/2017,0.00003
5/8/2017,0.00003
5/9/2017,0.00003
5/10/2017,0.00003
5/11/2017,0.00003
5/12/2017,0.00003
5/15/2017,0.00003
5/16/2017,0.00003
5/17/2017,0.00003
5/18/2017,0.00003
5/19/2017,0.00003
5/22/2017,0.00003
5/23/2017,0.00003
5/24/2017,0.00003
5/25/2017,0.00003
5/26/2017,0.00003
5/30/2017,0.00003
5/31/2017,0.00003
6/1/2017,0.00003
6/2/2017,0.00003
6/5/2017,0.00003
6/6/2017,0.00003
6/7/2017,0.00003
6/8/2017,0.00003
6/9/2017,0.00003
6/12/2017,0.00003
6/13/2017,0.00003
6/14/2017,0.00003
6/15/2017,0.00003
6/16/2017,0.00003
6/19/2017,0.00003
6/20/2017,0.00003
6/21/2017,0.00003
6/22/2017,0.00003
6/23/2017,0.00003
6/26/2017,0.00003
6/27/2017,0.00003
6/28/2017,0.00003
6/29/2017,0.00003
6/30/2017,0.00003
7/3/2017,0.00004
7/5/2017,0.00004
7/6/2017,0.00004
7/7/2017,0.00004
7/10/2017,0.00004
7/11/2017,0.00004
7/12/2017,0.00004
7/13/2017,0.00004
7/14/2017,0.00004
7/17/2017,0.00004
7/18/2017,0.00004
7/19/2017,0.00004
7/20/2017,0.00004
7/21/2017,0.00004
7/24/2017,0.00004
7/25/2017,0.00004
7/26/2017,0.00004
7/27/2017,0.00004
7/28/2017,0.00004
7/31/2017,0.00004
8/1/2017,0.00003
8/2/2017,0.00003
8/3/2017,0.00003
8/4/2017,0.00003
8/7/2017,0.00003
8/8/2017,0.00003
8/9/2017,0.00003
8/10/2017,0.00003
8/11/2017,0.00003
8/14/2017,0.00003
8/15/2017,0.00003
8/16/2017,0.00003
8/17/2017,0.00003
8/18/2017,0.00003
8/21/2017,0.00003
8/22/2017,0.00003
8/23/2017,0.00003
8/24/2017,0.00003
8/25/2017,0.00003
8/28/2017,0.00003
8/29/2017,0.00003
8/30/2017,0.00003
8/31/2017,0.00003
9/1/2017,0.00005
9/5/2017,0.00005
9/6/2017,0.00005
9/7/2017,0.00005
9/8/2017,0.00005
9/11/2017,0.00005
9/12/2017,0.00005
9/13/2017,0.00005
9/14/2017,0.00005
9/15/2017,0.00005
9/18/2017,0.00005
9/19/2017,0.00005
9/20/2017,0.00005
9/21/2017,0.00005
9/22/2017,0.00005
9/25/2017,0.00005
9/26/2017,0.00005
9/27/2017,0.00005
9/28/2017,0.00005
9/29/2017,0.00005
