stock,beta1,beta0
A,1.39975128806,0.000558963404226
AAL,1.656423156,-9.49683649627e-06
AAP,0.931894889929,-0.00236492575218
AAPL,1.03108118539,0.00119798328177
ABBV,0.91057133938,0.000168435840961
ABC,1.05943279617,-0.000863248601241
ABT,1.00571750322,0.000246300733606
ACN,0.895738839058,4.63811902775e-05
ADBE,1.20504554538,0.00103650574522
ADI,1.26780943054,0.000506709295001
ADM,0.67929067463,-0.000584010249992
ADP,0.941780934913,0.000189252405949
ADS,1.48498646199,-0.000368014496871
ADSK,2.06162921264,0.00106226818742
AEE,0.498439482596,0.000502144267493
AEP,0.419059514097,0.000293264227226
AES,0.940879328581,-0.000839528062494
AET,0.943520887468,0.000693664722824
AFL,0.757129975957,2.94526410279e-05
AGN,0.868088632883,-0.000536156350089
AIG,0.869090863526,-0.000407223719653
AIV,0.342551156068,-0.00017682831479
AIZ,0.872505905144,-0.000230316594401
AJG,0.95725919453,0.000135564652072
AKAM,1.04202274539,-0.00113942097
ALB,1.33679240929,0.000803674343244
ALGN,1.36611767535,0.00185656238355
ALK,1.37091818942,-0.000299712147099
ALL,0.575786947947,0.000773458989119
ALLE,1.18136229517,-0.000207559670633
ALXN,0.930708702774,9.69499756775e-06
AMAT,1.63197918054,0.000813791757807
AMD,2.28288304635,0.0010874442217
AME,1.093912848,0.000472123890035
AMG,1.5185496482,9.49943364416e-05
AMGN,1.2454710594,-0.000460092906626
AMP,1.79206911139,0.000344046929212
AMT,0.59404989704,0.000744523307949
AMZN,1.16652355451,0.000366711785416
ANDV,1.17250715516,0.000525386522563
ANSS,1.13208790242,0.000624702480339
ANTM,1.07712841708,0.00123031755982
AON,0.935079088804,0.000402003847211
AOS,1.3803098483,-0.000132766442234
APA,1.21364938387,-0.00159871184104
APC,1.04691554801,-0.0015984973179
APD,0.96814867001,-0.000457918311883
APH,0.944657115582,0.00055060645482
ARE,0.899585940968,-8.0044808992e-05
ATVI,1.31717644124,0.0011555566055
