stock,expected_annual_return
A,0.131980103045
AAL,0.15251385248
AAP,0.0945515911943
AAPL,0.102486494831
ABBV,0.0928457071504
ABC,0.104754623694
ABT,0.100457400257
ACN,0.0916591071246
ADBE,0.116403643631
ADI,0.121424754443
ADM,0.0743432539704
ADP,0.095342474793
ADS,0.13879891696
ADSK,0.184930337012
AEE,0.0598751586077
AEP,0.0535247611278
AES,0.0952703462865
AET,0.0954816709975
AFL,0.0805703980765
AGN,0.0894470906306
AIG,0.0895272690821
AIV,0.0474040924855
AIZ,0.0898004724115
AJG,0.0965807355624
AKAM,0.103361819631
ALB,0.126943392744
ALGN,0.129289414028
ALK,0.129673455154
ALL,0.0660629558358
ALLE,0.114508983614
ALXN,0.0944566962219
AMAT,0.150558334443
AMD,0.202630643708
AME,0.10751302784
AMG,0.141483971856
AMGN,0.119637684752
AMP,0.163365528911
AMT,0.0675239917632
AMZN,0.113321884361
ANDV,0.113800572412
ANSS,0.110567032194
ANTM,0.106170273367
AON,0.0948063271043
AOS,0.130424787864
APA,0.117091950709
APC,0.103753243841
APD,0.0974518936008
APH,0.0955725692465
ARE,0.0919668752774
ATVI,0.125374115299
